MTS793|MPT|FRA|1|2|,|/|:|33|1|1|A

Acquisition de données						Temps :	102,02539	Sec	01/07/2008 14:07:04
Temps	Ch 1 Displacement	Ch 1 Force	Ch 1 Extenso externe	Ch 1 Extenso MTS
Sec	mm	kN	mm	mm
14,166016	0,01615859	0,46739042	0,00020816922	0,00021169987
14,265625	0,016166955	0,4757784	0,00021517277	0,00018285686
14,365234	0,01729152	0,48614374	0,00018768013	0,00029615284
14,464844	0,016358167	0,48646212	0,00022925436	0,00026977339
14,564453	0,016444214	0,49483383	0,00023908913	0,00023355355
14,664063	0,016094057	0,49791259	0,00022336841	0,00040627937
14,763672	0,016929412	0,50203836	0,00023417175	0,00042024415
14,863281	0,018259529	0,51183456	0,00023476779	0,00040954567
14,962891	0,017853204	0,5083937	0,00024691224	0,00040554584
15,0625	0,016691593	0,48953238	0,00024631619	0,00031104489
15,162109	0,01687444	0,5009858	0,00026330352	0,00033847618
15,261719	0,018162729	0,50752515	0,00027447939	0,00042966934
15,361328	0,018238019	0,51470655	0,00025376678	0,0003619215
15,460938	0,017522169	0,51505738	0,00028848648	0,00041783595
15,560547	0,017990638	0,50966656	0,00031873584	0,00045725287
15,660156	0,018644344	0,52214807	0,00031083822	0,00050224742
15,759766	0,018615661	0,52615446	0,00038407743	0,0004138223
15,859375	0,01704414	0,52942467	0,00038206577	0,00039512417
15,958984	0,020289959	0,52993733	0,00043302774	0,00043649256
16,058594	0,017979883	0,53758645	0,00041984022	0,00045346067
16,158203	0,01933868	0,53518856	0,00039830804	0,00040133842
16,257813	0,019364974	0,54177415	0,00041939318	0,00045388972
16,357422	0,018724414	0,53914815	0,00036515296	0,0004016429
16,457031	0,018994501	0,53894955	0,00038512051	0,00052307692
16,556641	0,019707959	0,55006778	0,00034473836	0,00049380487
16,65625	0,020095162	0,55569243	0,00036217272	0,00058178708
16,755859	0,019179737	0,55566531	0,00032804906	0,00051035779
16,855469	0,018279847	0,54451281	0,00031612813	0,00049351424
16,955078	0,019877659	0,55120033	0,0002849102	0,00054037716
17,054688	0,019350631	0,55983084	0,00032521784	0,00054466765
17,154297	0,019657766	0,55342221	0,00032283366	0,0004683804
17,253906	0,020558851	0,56188762	0,00039152801	0,00051801139
17,353516	0,020617411	0,57442045	0,00033259392	0,00055182306
17,453125	0,021370307	0,56329274	0,00033408403	0,00052368589
17,552734	0,02110978	0,57382435	0,00033885241	0,00053704169
17,652344	0,01988483	0,56496483	0,00030890107	0,00046908626
17,751953	0,020304302	0,58139533	0,00029273331	0,00050865544
17,851563	0,020971151	0,57757789	0,00026769936	0,00058221613
17,951172	0,020317446	0,59226429	0,00029914081	0,00059375889
18,050781	0,021456352	0,5897947	0,00027693808	0,0006365251
18,150391	0,020272033	0,58166111	0,00022597611	0,00068740174
18,25	0,021784997	0,58979332	0,00022403896	0,00053068902
18,349609	0,022588087	0,59721935	0,00018589199	0,0006794713
18,449219	0,021648759	0,60087758	0,00016443431	0,00067253737
18,548828	0,022319196	0,5921694	0,00016048551	0,00062990951
18,648438	0,02239807	0,59547347	0,00010550022	0,00067172077
18,748047	0,02182563	0,59899366	9,894371e-05	0,00063673273
18,847656	0,022309635	0,60674429	0,00012069941	0,0007393579
18,947266	0,02118507	0,59930676	0,00011980534	0,00070378854
19,046875	0,022879684	0,61127901	0,0001796335	0,00073152431
19,146484	0,020674774	0,6066801	0,00017918646	0,00058202236
19,246094	0,023229841	0,62276238	0,00018522143	0,00070579536
19,345703	0,02198099	0,62085432	0,00019602478	0,0006967854
19,445313	0,021731218	0,61986172	0,00022217631	0,00075466518
19,544922	0,023109138	0,63126916	0,00019922853	0,00064237951
19,644531	0,022411216	0,63221931	0,00023543835	0,00072137947
19,744141	0,023442565	0,63645357	0,00022344291	0,00080457295
19,84375	0,022349073	0,62286758	0,00022225082	0,00066621241
19,943359	0,024141682	0,63845593	0,00019006431	0,00076411804
20,042969	0,023011142	0,63138592	0,00021971762	0,00068291754
20,142578	0,024379501	0,64868128	0,00021889806	0,00081075955
20,242188	0,024130927	0,6371789	0,00021249056	0,00077711401
20,341797	0,024194265	0,64900327	0,00023879111	0,00079738989
20,441406	0,024145268	0,64766735	0,00022284687	0,00090113614
20,541016	0,025676157	0,64897662	0,00026091933	0,00086468097
20,640625	0,024538446	0,65988249	0,00027149916	0,0008782167
20,740234	0,024741609	0,66096485	0,00025391579	0,00083207345
20,839844	0,025377389	0,67361259	0,00022627413	0,00090613245
20,939453	0,024961503	0,664491	0,00027537346	0,00091007689
21,039063	0,024356795	0,67452008	0,00027798116	0,0007886152
21,138672	0,025090571	0,6724388	0,00034481287	0,0008688884
21,238281	0,025244735	0,67034727	0,000378564	0,00097793539
21,337891	0,026766064	0,68326753	0,00042133033	0,00096284959
21,4375	0,0267087	0,69424206	0,00041283667	0,00092689274
21,537109	0,02564867	0,67330366	0,00043161213	0,00086984341
21,636719	0,025924733	0,68134505	0,00040404499	0,00099879259
21,736328	0,025377389	0,68723071	0,00039465725	0,0010032492
21,835938	0,026197208	0,69341147	0,0003824383	0,0010472056
21,935547	0,025303293	0,69427764	0,00036031008	0,00098258571
22,035156	0,026452955	0,69308084	0,00036671758	0,00097285607
22,134766	0,024905335	0,70352566	0,00033281744	0,0010806575
22,234375	0,026576048	0,69877923	0,00032551587	0,00093597191
22,333984	0,026560511	0,70072323	0,00035598874	0,00097055861
22,433594	0,027391087	0,71376735	0,00031672418	0,0010300992
