MTS793|MPT|FRA|1|2|,|/|:|33|1|1|A

Acquisition de données						Temps :	532,43457	Sec	06/03/2012 12:10:18
Temps	Ch 1 Deplacement	Ch 1 Extenso	Ch 1 Extenso-ext	Ch 1 Force
Sec	mm	mm	mm	kN
41,457031	0,41337967	0,13173592	0,041832507	6,0235915
41,657227	0,41462421	0,13321677	0,041795652	5,9956255
41,857422	0,41598201	0,13445832	0,041831553	6,005208
42,057617	0,41931689	0,13586943	0,041887734	6,0450854
42,257813	0,41986108	0,13694985	0,041907653	6,0481234
42,458008	0,42162895	0,1380236	0,041870795	6,0416446
42,658203	0,42406023	0,13934299	0,04190312	6,0614562
42,858398	0,42633653	0,14049579	0,041967291	6,078743
43,058594	0,42896152	0,14169462	0,042017385	6,1017709
43,258789	0,42966247	0,14273	0,042063545	6,1003928
43,458984	0,43265939	0,1438216	0,04210899	6,1112843
43,65918	0,43496192	0,14489152	0,042196061	6,1249728
43,859375	0,43743551	0,14607529	0,042269181	6,1415129
44,05957	0,4377532	0,14703363	0,04231558	6,1406784
44,259766	0,44062018	0,14816143	0,042393465	6,1419592
44,459961	0,44276297	0,14932106	0,04251644	6,1784248
44,660156	0,44508457	0,15049495	0,042617708	6,1798124
44,860352	0,44662535	0,15158057	0,042778969	6,1723847
45,060547	0,44890642	0,15256569	0,042924725	6,1808772
45,260742	0,45016646	0,15367089	0,043030761	6,1881542
45,460938	0,45321047	0,15497895	0,043216832	6,2083659
45,661133	0,45444727	0,15598759	0,043373562	6,2084708
45,861328	0,45675933	0,15687524	0,043536972	6,1998129
46,061523	0,45857549	0,15803276	0,043768488	6,2104254
46,261719	0,46112359	0,15907228	0,043923549	6,2322931
46,461914	0,46316683	0,16004184	0,044146478	6,2322798
46,662109	0,4636699	0,16109608	0,044322647	6,2206306
46,862305	0,46664059	0,16213997	0,044555835	6,2277527
47,0625	0,46833456	0,16319445	0,044758726	6,2374887
47,262695	0,47040403	0,16432385	0,044999305	6,2437196
47,462891	0,47222435	0,16524872	0,04520959	6,2382083
47,663086	0,47447324	0,1662699	0,045461025	6,2383385
47,863281	0,47654331	0,16739574	0,045639344	6,2586017
48,063477	0,47883332	0,16828237	0,045844499	6,251792
48,263672	0,47988415	0,16922827	0,046031766	6,2546735
48,463867	0,48186243	0,17033921	0,046292864	6,2556086
48,664063	0,48531115	0,17126012	0,046537619	6,2679391
48,864258	0,48727274	0,17229167	0,046708185	6,2784348
49,064453	0,488258	0,17327061	0,047011029	6,2662301
49,264648	0,49044609	0,1740991	0,04719853	6,2743874
49,464844	0,49303293	0,17513055	0,047389016	6,2751641
49,665039	0,49509168	0,17623313	0,047687683	6,2791362
49,865234	0,49687684	0,17721151	0,047882702	6,2814312
50,06543	0,49956381	0,17830606	0,04812197	6,3113961
50,265625	0,50142944	0,17904761	0,048322476	6,2877455
50,46582	0,50272703	0,18004216	0,048556972	6,3088379
50,666016	0,50483346	0,18078759	0,048753064	6,272264
50,866211	0,50676167	0,18185399	0,048956431	6,2986665
51,066406	0,50896883	0,18276176	0,049158964	6,310914
51,266602	0,51057041	0,18378302	0,049399424	6,3099461
51,466797	0,51174283	0,18481402	0,049641915	6,3061199
51,666992	0,51411927	0,18564147	0,049862221	6,3035097
51,867188	0,51734924	0,18677518	0,05013071	6,3384933
52,067383	0,51812291	0,18759346	0,050330978	6,3370218
52,267578	0,52078187	0,1884923	0,050509177	6,3109002
52,467773	0,5229342	0,1894986	0,050745942	6,3359804
52,667969	0,52479506	0,19040842	0,05098867	6,3258877
